"Start";"Duration";"Pitch";"Velocity";"Instrument"
35.0;0.5;64.0;0.7086600000000001;"Piano"
35.5;0.5;57.0;0.7086600000000001;"Piano"
35.5;0.5;66.0;0.7086600000000001;"Piano"
36.0;0.5;47.0;0.7086600000000001;"Piano"
36.0;0.5;62.0;0.7086600000000001;"Piano"
36.5;0.5;50.0;0.7086600000000001;"Piano"
36.5;0.5;74.0;0.7086600000000001;"Piano"
37.0;0.5;54.0;0.7086600000000001;"Piano"
37.0;0.5;73.0;0.7086600000000001;"Piano"
37.5;0.5;59.0;0.7086600000000001;"Piano"
37.5;0.5;71.0;0.7086600000000001;"Piano"
38.0;0.5;42.0;0.7086600000000001;"Piano"
38.0;0.5;73.0;0.7086600000000001;"Piano"
38.5;0.5;45.0;0.7086600000000001;"Piano"
38.5;0.5;78.0;0.7086600000000001;"Piano"
39.0;0.5;49.0;0.7086600000000001;"Piano"
39.0;0.5;81.0;0.7086600000000001;"Piano"
39.5;0.5;54.0;0.7086600000000001;"Piano"
39.5;0.5;83.0;0.7086600000000001;"Piano"
40.0;0.5;43.0;0.7086600000000001;"Piano"
40.0;0.5;71.0;0.7086600000000001;"Piano"
40.0;0.5;79.0;0.7086600000000001;"Piano"
40.5;0.5;47.0;0.7086600000000001;"Piano"
40.5;0.5;78.0;0.7086600000000001;"Piano"
41.0;0.5;50.0;0.7086600000000001;"Piano"
41.0;0.5;76.0;0.7086600000000001;"Piano"
41.5;0.5;55.0;0.7086600000000001;"Piano"
41.5;0.5;79.0;0.7086600000000001;"Piano"
42.0;0.5;38.0;0.7086600000000001;"Piano"
42.0;0.5;69.0;0.7086600000000001;"Piano"
42.0;0.5;78.0;0.7086600000000001;"Piano"
42.5;0.5;42.0;0.7086600000000001;"Piano"
42.5;0.5;76.0;0.7086600000000001;"Piano"
43.0;0.5;45.0;0.7086600000000001;"Piano"
43.0;0.5;74.0;0.7086600000000001;"Piano"
43.5;0.5;50.0;0.7086600000000001;"Piano"
43.5;0.5;73.0;0.7086600000000001;"Piano"
44.0;0.5;43.0;0.7086600000000001;"Piano"
44.0;0.5;67.0;0.7086600000000001;"Piano"
44.0;0.5;71.0;0.7086600000000001;"Piano"
44.5;0.5;47.0;0.7086600000000001;"Piano"
44.5;0.5;69.0;0.7086600000000001;"Piano"
45.0;0.5;50.0;0.7086600000000001;"Piano"
